day,date,cosine,entity
20,2016-11-20,0.3121704356938275,0.3944053188733077
16,2016-11-16,0.23832371837781188,0.21081851067789195
01,2016-11-01,0.2800111728375232,0.44721359549995787
17,2016-11-17,0.35885030198632734,0.3944053188733077
21,2016-11-21,0.24191760208239982,0.2581988897471611
10,2016-11-10,0.37298307644138806,0.3651483716701107
06,2016-11-06,0.28589086865027286,0.14907119849998599
26,2016-11-26,0.3732080078866912,0.4714045207910317
30,2016-11-30,0.2704401479539286,0.33333333333333337
27,2016-11-27,0.33817780116563434,0.44721359549995787
07,2016-11-07,0.39917857941437684,0.6324555320336759
11,2016-11-11,0.43903074801785935,0.7302967433402214
28,2016-11-28,0.38734647697194197,0.5163977794943222
04,2016-11-04,0.19630677931276164,0.372677996249965
12,2016-11-12,0.38503894536147387,0.5577733510227171
24,2016-11-24,0.26307063876492975,0.29814239699997197
08,2016-11-08,0.33548754028863065,0.5773502691896257
09,2016-11-09,0.33799536150749465,0.5577733510227171
25,2016-11-25,0.2049522371405638,0.21081851067789195
13,2016-11-13,0.3434864170745835,0.5374838498865699
05,2016-11-05,0.30515783140568215,0.28867513459481287
29,2016-11-29,0.27093078855801966,0.29814239699997197
22,2016-11-22,0.20996561559010185,0.2581988897471611
18,2016-11-18,0.16032762079042887,0.21081851067789195
02,2016-11-02,0.19966840673590855,0.21081851067789195
14,2016-11-14,0.45131336389885407,0.6497862896539309
15,2016-11-15,0.3916312747946664,0.3651483716701107
03,2016-11-03,0.21467769421205052,0.2581988897471611
19,2016-11-19,0.4157474668074643,0.5962847939999439
23,2016-11-23,0.24668768634704455,0.33333333333333337
